id,attack_date,org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents
RAN202400029,10-06-2024 03:00,Clinic,Medium,21,50-350,Daily,TRUE,32.81,TRUE,FALSE,40,Exploited Vulnerability,FALSE,28.43,1
RAN202400030,20-05-2024 21:00,Hospital,Large,21,Jan-50,Daily,TRUE,71.63,TRUE,FALSE,58,Exploited Vulnerability,TRUE,55.42,7
RAN202400031,17-08-2024 22:00,Clinic,Small,14,Jan-50,Weekly,TRUE,80.7,FALSE,FALSE,75,Compromised Credentials,FALSE,31.25,7
RAN202400032,28-07-2024 14:00,Hospital,Medium,10,50-350,More than once per day,TRUE,32.65,FALSE,FALSE,28,Exploited Vulnerability,FALSE,52.58,3
RAN202400033,01-06-2024 18:00,Hospital,Medium,8,50-350,Daily,FALSE,66.62,TRUE,FALSE,32,Compromised Credentials,TRUE,40.42,7
RAN202400034,09-11-2024 16:00,Pharma,Medium,7,50-350,Weekly,FALSE,56.09,FALSE,FALSE,25,Compromised Credentials,TRUE,47.66,7
RAN202400035,18-08-2024 08:00,Pharma,Large,8,Jan-50,Weekly,TRUE,56.59,TRUE,TRUE,48,Compromised Credentials,TRUE,53.25,1
RAN202400036,20-03-2024 23:00,Insurance,Large,8,Jan-50,Daily,FALSE,60.83,FALSE,TRUE,21,RDP Exploit,TRUE,46.77,7
RAN202400037,25-04-2024 12:00,Hospital,Medium,23,50-350,Daily,FALSE,65.55,TRUE,FALSE,56,Phishing Email,FALSE,42.04,4
RAN202400038,26-11-2024 11:00,Hospital,Large,2,350+,Daily,FALSE,66.07,TRUE,TRUE,14,Phishing Email,FALSE,28.16,3
RAN202400039,03-02-2024 00:00,Clinic,Medium,16,50-350,Daily,FALSE,65.19,TRUE,FALSE,44,Compromised Credentials,TRUE,48.65,4
RAN202400040,27-08-2024 08:00,Clinic,Small,9,350+,Daily,TRUE,53.05,TRUE,FALSE,31,Exploited Vulnerability,FALSE,36.91,2
RAN202400041,14-03-2024 02:00,Hospital,Medium,13,50-350,Monthly,TRUE,52.39,FALSE,FALSE,47,Infected Removable Media,FALSE,31.3,1
RAN202400042,15-09-2024 18:00,Clinic,Medium,23,50-350,Daily,FALSE,44.17,TRUE,FALSE,47,Exploited Vulnerability,TRUE,64.32,2
RAN202400043,14-04-2024 10:00,Hospital,Medium,12,Jan-50,Monthly,FALSE,68.1,TRUE,FALSE,49,Phishing Email,TRUE,47.96,1
RAN202400044,05-01-2024 18:00,Pharma,Medium,22,50-350,Weekly,FALSE,44.98,TRUE,FALSE,28,Compromised Credentials,FALSE,31.97,1
RAN202400045,04-01-2024 22:00,Hospital,Medium,17,50-350,More than once per day,TRUE,39.73,TRUE,FALSE,41,Exploited Vulnerability,TRUE,71.89,3
RAN202400046,06-11-2024 22:00,Clinic,Medium,2,50-350,Weekly,TRUE,45.75,TRUE,TRUE,39,Exploited Vulnerability,TRUE,44.04,6
RAN202400047,12-07-2024 09:00,Hospital,Medium,13,50-350,More than once per day,TRUE,42.79,TRUE,TRUE,29,RDP Exploit,TRUE,44.52,2
RAN202400048,02-12-2024 00:00,Clinic,Medium,1,50-350,Monthly,TRUE,58.81,FALSE,FALSE,43,Phishing Email,FALSE,32.25,4
RAN202400049,19-08-2024 17:00,Clinic,Small,19,Jan-50,Monthly,TRUE,73.41,TRUE,FALSE,77,Compromised Credentials,TRUE,7.12,3
RAN202400050,22-06-2024 13:00,Hospital,Medium,11,50-350,Daily,TRUE,65.84,TRUE,FALSE,63,Exploited Vulnerability,FALSE,24.46,6
RAN202400051,06-02-2024 17:00,Pharma,Large,5,Jan-50,Daily,TRUE,68.3,TRUE,FALSE,52,Exploited Vulnerability,FALSE,33.25,1
RAN202400052,16-10-2024 18:00,Research Lab,Medium,1,350+,Daily,TRUE,47.37,TRUE,TRUE,20,Exploited Vulnerability,TRUE,73.16,4
RAN202400053,04-02-2024 16:00,Pharma,Large,20,Jan-50,Daily,TRUE,39.04,TRUE,TRUE,50,Phishing Email,FALSE,18.3,1
RAN202400054,20-04-2024 04:00,Insurance,Medium,13,Jan-50,Daily,TRUE,59.08,FALSE,FALSE,70,Phishing Email,TRUE,51.6,1
RAN202400055,28-09-2024 08:00,Clinic,Medium,8,50-350,Daily,TRUE,52.48,TRUE,FALSE,35,Infected Removable Media,FALSE,18.36,4
RAN202400056,23-12-2024 11:00,Pharma,Medium,6,50-350,Weekly,TRUE,60.06,TRUE,FALSE,53,Compromised Credentials,FALSE,35.93,5
RAN202400057,19-11-2024 17:00,Hospital,Medium,17,50-350,Daily,FALSE,63.2,TRUE,FALSE,35,Compromised Credentials,TRUE,54.95,4
RAN202400058,13-10-2024 06:00,Hospital,Medium,12,Jan-50,Weekly,TRUE,64.84,FALSE,FALSE,69,Phishing Email,FALSE,12.76,7
RAN202400059,03-05-2024 21:00,Hospital,Medium,1,50-350,Weekly,TRUE,75.06,TRUE,FALSE,50,Phishing Email,TRUE,50.78,3
RAN202400060,30-09-2024 19:00,Hospital,Medium,3,Jan-50,Daily,FALSE,46.97,TRUE,TRUE,14,Compromised Credentials,TRUE,65.39,4
RAN202400061,28-02-2024 08:00,Hospital,Large,14,350+,Monthly,TRUE,57.04,TRUE,FALSE,31,Compromised Credentials,TRUE,18.83,3
RAN202400062,12-09-2024 17:00,Hospital,Large,8,350+,Daily,FALSE,52.99,TRUE,TRUE,12,Exploited Vulnerability,FALSE,57.53,2
RAN202400063,21-09-2024 13:00,Insurance,Medium,11,50-350,More than once per day,TRUE,24.79,TRUE,FALSE,19,Exploited Vulnerability,TRUE,69.05,4
RAN202400064,12-11-2024 02:00,Hospital,Medium,14,Jan-50,Weekly,FALSE,70.74,TRUE,FALSE,37,Exploited Vulnerability,TRUE,11.66,6
RAN202400065,22-08-2024 19:00,Hospital,Medium,8,50-350,Daily,TRUE,50.13,TRUE,FALSE,40,Phishing Email,FALSE,22.46,2
RAN202400066,15-06-2024 00:00,Clinic,Small,3,Jan-50,Weekly,FALSE,56.09,TRUE,FALSE,22,Compromised Credentials,FALSE,30.21,4
RAN202400067,16-04-2024 18:00,Hospital,Medium,7,50-350,Monthly,FALSE,71.63,TRUE,TRUE,31,Exploited Vulnerability,FALSE,28.51,6
RAN202400068,15-09-2024 13:00,Insurance,Medium,19,Jan-50,Monthly,TRUE,60.23,TRUE,FALSE,68,Exploited Vulnerability,TRUE,41.59,3
RAN202400069,29-12-2024 22:00,Hospital,Large,4,350+,Weekly,FALSE,52.02,TRUE,FALSE,13,Compromised Credentials,FALSE,34.5,6
RAN202400070,03-07-2024 11:00,Pharma,Large,16,Jan-50,Weekly,TRUE,47.94,TRUE,FALSE,53,Phishing Email,FALSE,35.57,6
RAN202400071,22-03-2024 19:00,Research Lab,Medium,13,50-350,More than once per day,TRUE,39.37,TRUE,FALSE,57,Compromised Credentials,TRUE,68.58,2
RAN202400072,23-02-2024 02:00,Hospital,Medium,20,50-350,Daily,TRUE,65.64,TRUE,FALSE,82,RDP Exploit,FALSE,21.63,5
RAN202400073,22-11-2024 01:00,Hospital,Medium,19,50-350,Weekly,FALSE,51.48,TRUE,FALSE,35,Phishing Email,TRUE,68.78,4
RAN202400074,24-12-2024 01:00,Insurance,Large,5,Jan-50,Daily,TRUE,38.38,TRUE,FALSE,47,Compromised Credentials,FALSE,51.56,3
RAN202400075,10-03-2024 10:00,Research Lab,Small,23,350+,Daily,TRUE,66.36,TRUE,FALSE,42,Exploited Vulnerability,FALSE,17.79,3
RAN202400076,01-11-2024 02:00,Research Lab,Medium,5,50-350,Daily,FALSE,59.5,TRUE,FALSE,23,Phishing Email,FALSE,21.46,7
RAN202400077,08-10-2024 12:00,Research Lab,Medium,20,50-350,Weekly,TRUE,54.89,TRUE,TRUE,70,Compromised Credentials,FALSE,33.69,1
RAN202400078,20-11-2024 01:00,Hospital,Large,24,Jan-50,Daily,TRUE,64.95,TRUE,FALSE,85,Compromised Credentials,FALSE,37.62,3
RAN202400079,17-03-2024 11:00,Hospital,Medium,4,50-350,Weekly,FALSE,56.47,TRUE,FALSE,22,Compromised Credentials,TRUE,52.92,7
RAN202400080,29-11-2024 18:00,Hospital,Medium,2,50-350,Daily,FALSE,54.64,TRUE,FALSE,17,Compromised Credentials,TRUE,67.04,3
RAN202400081,16-11-2024 18:00,Insurance,Large,13,Jan-50,More than once per day,TRUE,26.28,TRUE,TRUE,28,Exploited Vulnerability,TRUE,67.23,4
RAN202400082,17-01-2024 01:00,Clinic,Small,16,Jan-50,Daily,FALSE,82.61,TRUE,FALSE,72,Compromised Credentials,FALSE,27.86,2
RAN202400083,10-10-2024 16:00,Hospital,Large,22,350+,Daily,TRUE,47.12,FALSE,TRUE,24,Compromised Credentials,TRUE,76.44,6
RAN202400084,05-07-2024 11:00,Hospital,Large,2,Jan-50,Monthly,TRUE,55.25,TRUE,FALSE,39,Phishing Email,FALSE,37.37,7
RAN202400085,06-08-2024 02:00,Hospital,Medium,19,Jan-50,More than once per day,TRUE,36,TRUE,FALSE,46,Malicious Website,TRUE,57.69,4
RAN202400086,06-03-2024 21:00,Hospital,Medium,17,50-350,Daily,TRUE,68.24,TRUE,FALSE,52,Exploited Vulnerability,TRUE,52.53,4
RAN202400087,26-08-2024 12:00,Research Lab,Medium,5,50-350,Daily,TRUE,70.34,TRUE,FALSE,65,Compromised Credentials,FALSE,26.19,5
RAN202400088,14-01-2024 09:00,Clinic,Small,18,Jan-50,Daily,TRUE,66.96,FALSE,FALSE,93,Compromised Credentials,TRUE,20.52,6
RAN202400089,26-08-2024 15:00,Insurance,Medium,23,50-350,More than once per day,FALSE,33.9,TRUE,TRUE,25,Exploited Vulnerability,FALSE,53.63,5
RAN202400090,12-03-2024 11:00,Clinic,Small,21,Jan-50,More than once per day,TRUE,44.3,TRUE,FALSE,47,Phishing Email,TRUE,59.18,4
RAN202400091,16-10-2024 14:00,Hospital,Large,18,Jan-50,Monthly,FALSE,71.18,TRUE,TRUE,35,Exploited Vulnerability,TRUE,38.56,5
RAN202400092,05-05-2024 10:00,Research Lab,Small,8,Jan-50,Weekly,TRUE,76.31,TRUE,FALSE,62,Exploited Vulnerability,TRUE,46.61,1
RAN202400093,13-03-2024 16:00,Research Lab,Small,15,350+,Daily,FALSE,71.92,TRUE,FALSE,27,Exploited Vulnerability,TRUE,29.94,3
RAN202400094,18-05-2024 22:00,Clinic,Small,13,Jan-50,Daily,TRUE,39.08,FALSE,FALSE,46,Exploited Vulnerability,FALSE,50.55,6
RAN202400095,19-11-2024 23:00,Research Lab,Small,13,Jan-50,Daily,TRUE,54.57,TRUE,TRUE,77,Compromised Credentials,FALSE,27.8,7
RAN202400096,23-04-2024 20:00,Clinic,Medium,16,50-350,Daily,TRUE,54.55,TRUE,FALSE,63,Exploited Vulnerability,FALSE,33.11,7
RAN202400097,05-08-2024 07:00,Clinic,Small,22,350+,Weekly,FALSE,82.5,FALSE,TRUE,30,Phishing Email,TRUE,65.62,4
RAN202400098,18-05-2024 02:00,Clinic,Small,20,Jan-50,Monthly,FALSE,60.07,TRUE,FALSE,36,Exploited Vulnerability,TRUE,45.67,2
RAN202400099,14-12-2024 16:00,Hospital,Medium,13,50-350,Daily,TRUE,78.87,TRUE,FALSE,78,Compromised Credentials,FALSE,27.35,5
RAN202400100,07-04-2024 19:00,Hospital,Large,20,Jan-50,Weekly,TRUE,43.41,TRUE,FALSE,55,Compromised Credentials,TRUE,19.28,7
RAN202400101,19-02-2024 19:00,Hospital,Medium,2,50-350,More than once per day,TRUE,14.79,TRUE,FALSE,9,Phishing Email,FALSE,43.64,1
RAN202400102,19-02-2024 14:00,Clinic,Medium,3,50-350,Daily,FALSE,45.36,TRUE,FALSE,8,Exploited Vulnerability,TRUE,66.18,5
RAN202400103,13-06-2024 10:00,Hospital,Medium,15,50-350,More than once per day,FALSE,31.32,TRUE,FALSE,17,Infected Removable Media,FALSE,32.32,1
RAN202400104,17-10-2024 01:00,Clinic,Small,23,Jan-50,More than once per day,FALSE,34.04,FALSE,FALSE,36,Exploited Vulnerability,TRUE,29.82,6
RAN202400105,08-05-2024 01:00,Pharma,Medium,19,Jan-50,Monthly,FALSE,81.27,TRUE,FALSE,54,Compromised Credentials,TRUE,44.79,1
RAN202400106,03-12-2024 13:00,Hospital,Large,13,Jan-50,Daily,FALSE,60.69,FALSE,FALSE,32,Exploited Vulnerability,TRUE,51.07,6
RAN202400107,16-02-2024 12:00,Clinic,Small,5,Jan-50,More than once per day,TRUE,55.85,TRUE,TRUE,42,Phishing Email,TRUE,53.09,6
RAN202400108,08-04-2024 20:00,Research Lab,Small,22,Jan-50,Monthly,FALSE,63.56,TRUE,FALSE,58,Compromised Credentials,FALSE,23.28,7
RAN202400109,16-01-2024 10:00,Hospital,Medium,6,50-350,Monthly,FALSE,63.24,TRUE,TRUE,22,Malicious Website,FALSE,33.42,1
RAN202400110,28-12-2024 05:00,Hospital,Large,14,350+,Weekly,FALSE,77.09,TRUE,FALSE,24,RDP Exploit,TRUE,63.94,4
RAN202400111,21-09-2024 18:00,Hospital,Large,4,350+,Monthly,TRUE,58.03,TRUE,FALSE,25,Compromised Credentials,TRUE,63.36,3
RAN202400112,28-04-2024 05:00,Hospital,Large,22,350+,Daily,TRUE,83.9,TRUE,FALSE,48,Exploited Vulnerability,TRUE,57.19,4
RAN202400113,16-10-2024 00:00,Pharma,Medium,19,50-350,Weekly,TRUE,58.89,TRUE,FALSE,71,Exploited Vulnerability,FALSE,32.37,3
RAN202400114,08-09-2024 20:00,Insurance,Medium,23,50-350,Weekly,FALSE,59,TRUE,FALSE,30,Exploited Vulnerability,TRUE,66.7,2
RAN202400115,30-07-2024 14:00,Clinic,Small,7,Jan-50,Monthly,TRUE,47.48,TRUE,TRUE,34,Exploited Vulnerability,FALSE,35.54,7
RAN202400116,17-07-2024 13:00,Insurance,Medium,4,50-350,Weekly,TRUE,60.86,TRUE,TRUE,50,RDP Exploit,FALSE,42.6,5
RAN202400117,15-01-2024 22:00,Insurance,Medium,2,50-350,Daily,TRUE,62.31,TRUE,FALSE,50,Exploited Vulnerability,FALSE,21.4,4
RAN202400118,08-09-2024 04:00,Hospital,Medium,7,50-350,Weekly,TRUE,69.09,TRUE,FALSE,52,Exploited Vulnerability,FALSE,29.39,5
RAN202400119,06-10-2024 04:00,Insurance,Medium,3,50-350,Daily,TRUE,60.67,TRUE,FALSE,47,Exploited Vulnerability,FALSE,32.15,6
RAN202400120,07-06-2024 21:00,Clinic,Small,15,Jan-50,Daily,TRUE,47.43,TRUE,FALSE,74,Exploited Vulnerability,TRUE,51.11,5
RAN202400121,07-03-2024 01:00,Insurance,Medium,1,Jan-50,More than once per day,FALSE,42.61,TRUE,TRUE,21,Phishing Email,TRUE,47.85,6
RAN202400122,14-08-2024 16:00,Insurance,Large,2,350+,Monthly,FALSE,50.62,TRUE,FALSE,12,Exploited Vulnerability,TRUE,71.3,6
RAN202400123,18-09-2024 03:00,Hospital,Medium,10,Jan-50,Daily,TRUE,78.56,TRUE,FALSE,72,Exploited Vulnerability,TRUE,50.69,2
RAN202400124,07-01-2024 16:00,Hospital,Medium,16,50-350,Daily,FALSE,73.57,TRUE,FALSE,47,Compromised Credentials,TRUE,58.28,5
RAN202400125,12-08-2024 15:00,Hospital,Large,15,350+,Daily,FALSE,53.31,TRUE,FALSE,23,Compromised Credentials,TRUE,67.26,3
RAN202400126,20-04-2024 22:00,Clinic,Medium,24,50-350,Monthly,TRUE,40.46,TRUE,FALSE,60,Exploited Vulnerability,TRUE,61.17,4
RAN202400127,21-01-2024 06:00,Insurance,Medium,15,50-350,Daily,TRUE,53.27,TRUE,FALSE,75,Compromised Credentials,FALSE,23.75,2
RAN202400128,21-01-2024 09:00,Insurance,Large,14,Jan-50,Weekly,TRUE,65.55,FALSE,FALSE,75,Compromised Credentials,FALSE,32.49,6
RAN202400129,31-07-2024 05:00,Hospital,Medium,22,Jan-50,Monthly,TRUE,76.99,TRUE,FALSE,90,Exploited Vulnerability,TRUE,51.01,7
RAN202400130,27-09-2024 22:00,Clinic,Medium,14,350+,Daily,FALSE,78.61,TRUE,FALSE,22,Phishing Email,FALSE,29.57,6
RAN202400131,18-11-2024 04:00,Clinic,Medium,6,50-350,Daily,TRUE,69.63,TRUE,FALSE,49,Compromised Credentials,FALSE,27.4,3
RAN202400132,05-05-2024 00:00,Hospital,Medium,14,50-350,Weekly,TRUE,82.95,TRUE,FALSE,91,Exploited Vulnerability,TRUE,44.13,6
RAN202400133,21-06-2024 01:00,Hospital,Large,17,Jan-50,Monthly,FALSE,43.62,TRUE,FALSE,29,Phishing Email,FALSE,43.5,3
RAN202400134,03-02-2024 01:00,Hospital,Medium,18,Jan-50,Weekly,TRUE,61.69,TRUE,FALSE,65,Exploited Vulnerability,TRUE,34.48,6
RAN202400135,08-03-2024 23:00,Pharma,Large,20,350+,Daily,FALSE,49.24,TRUE,FALSE,20,Compromised Credentials,FALSE,29.7,6
RAN202400136,16-03-2024 05:00,Hospital,Large,19,Jan-50,Monthly,TRUE,59.28,TRUE,FALSE,87,Compromised Credentials,FALSE,12.19,2
RAN202400137,01-04-2024 13:00,Clinic,Medium,17,50-350,Daily,TRUE,61.6,TRUE,FALSE,73,RDP Exploit,FALSE,16.97,2
RAN202400138,14-04-2024 03:00,Research Lab,Small,16,Jan-50,Weekly,TRUE,74.32,TRUE,FALSE,84,Exploited Vulnerability,FALSE,11.93,5
RAN202400139,16-11-2024 20:00,Hospital,Medium,8,50-350,Weekly,TRUE,54.93,TRUE,FALSE,60,Phishing Email,FALSE,35.11,1
RAN202400140,12-12-2024 22:00,Pharma,Large,7,350+,Daily,TRUE,66.35,TRUE,FALSE,38,Compromised Credentials,TRUE,66.83,6
RAN202400141,11-04-2024 16:00,Pharma,Medium,20,50-350,Weekly,TRUE,59.31,TRUE,FALSE,63,Exploited Vulnerability,TRUE,65.96,3
RAN202400142,25-06-2024 18:00,Hospital,Medium,12,Jan-50,Weekly,TRUE,73.65,TRUE,FALSE,73,Exploited Vulnerability,FALSE,33.52,6
RAN202400143,01-01-2024 19:00,Clinic,Medium,9,50-350,Monthly,FALSE,57.56,TRUE,TRUE,33,Exploited Vulnerability,FALSE,34.84,3
RAN202400144,20-11-2024 02:00,Hospital,Medium,14,50-350,Daily,TRUE,78.27,TRUE,FALSE,70,Exploited Vulnerability,FALSE,43.85,7
RAN202400145,23-04-2024 18:00,Hospital,Medium,20,50-350,Daily,FALSE,63.61,TRUE,FALSE,51,Compromised Credentials,FALSE,42.92,1
RAN202400146,16-06-2024 23:00,Hospital,Large,1,350+,Weekly,TRUE,61.37,TRUE,FALSE,19,Compromised Credentials,TRUE,69.31,3
RAN202400147,02-09-2024 13:00,Clinic,Medium,10,50-350,More than once per day,TRUE,22.69,TRUE,FALSE,13,Phishing Email,FALSE,43.96,6
RAN202400148,26-01-2024 09:00,Clinic,Small,17,350+,More than once per day,FALSE,46.67,FALSE,TRUE,16,Compromised Credentials,FALSE,51.34,4
RAN202400149,26-12-2024 05:00,Hospital,Medium,17,50-350,Monthly,TRUE,52.7,TRUE,TRUE,45,Compromised Credentials,TRUE,17.7,5
RAN202400150,18-04-2024 01:00,Hospital,Large,17,Jan-50,Daily,TRUE,71.1,TRUE,TRUE,70,RDP Exploit,FALSE,26.41,5
RAN202400151,28-10-2024 06:00,Pharma,Medium,4,Jan-50,Monthly,TRUE,59.63,TRUE,FALSE,70,Compromised Credentials,TRUE,53.5,4
RAN202400152,30-12-2024 06:00,Hospital,Medium,17,Jan-50,Daily,FALSE,36.52,TRUE,TRUE,30,Phishing Email,FALSE,26.96,1
RAN202400153,13-03-2024 15:00,Hospital,Large,18,350+,Daily,TRUE,58.16,FALSE,TRUE,24,Compromised Credentials,FALSE,30.25,2
RAN202400154,30-08-2024 01:00,Clinic,Medium,20,50-350,Weekly,TRUE,73.4,TRUE,FALSE,55,Phishing Email,TRUE,58.79,3
RAN202400155,29-02-2024 10:00,Pharma,Medium,23,50-350,Weekly,TRUE,57.25,TRUE,FALSE,75,Phishing Email,FALSE,23.61,3
RAN202400156,12-11-2024 06:00,Hospital,Large,2,Jan-50,Weekly,FALSE,47.25,TRUE,FALSE,22,Phishing Email,FALSE,26.14,2
RAN202400157,04-11-2024 01:00,Clinic,Small,8,Jan-50,Daily,TRUE,59.32,FALSE,TRUE,33,Phishing Email,TRUE,22.97,2
RAN202400158,27-04-2024 04:00,Research Lab,Medium,13,50-350,Weekly,TRUE,55.52,TRUE,FALSE,59,Compromised Credentials,TRUE,61.33,1
RAN202400159,20-04-2024 12:00,Hospital,Medium,23,50-350,Daily,TRUE,63.8,TRUE,TRUE,81,Compromised Credentials,TRUE,47.3,6
RAN202400160,31-03-2024 16:00,Research Lab,Small,22,Jan-50,Daily,TRUE,60.33,TRUE,TRUE,95,Compromised Credentials,FALSE,46.56,3
RAN202400161,05-09-2024 11:00,Hospital,Medium,20,50-350,Daily,TRUE,72.25,FALSE,TRUE,62,RDP Exploit,TRUE,53.73,2
RAN202400162,28-10-2024 12:00,Clinic,Small,22,Jan-50,Weekly,FALSE,43.39,FALSE,TRUE,49,Exploited Vulnerability,FALSE,28.87,3
RAN202400163,13-06-2024 18:00,Clinic,Small,15,Jan-50,Daily,TRUE,77.37,FALSE,FALSE,75,Phishing Email,TRUE,33.92,6
RAN202400164,12-01-2024 12:00,Clinic,Medium,20,50-350,Daily,TRUE,56.52,FALSE,TRUE,62,Compromised Credentials,FALSE,18.38,4
RAN202400165,15-03-2024 20:00,Hospital,Large,23,Jan-50,Daily,FALSE,63.66,TRUE,FALSE,44,Compromised Credentials,TRUE,45.68,7
RAN202400166,14-06-2024 11:00,Insurance,Large,9,350+,More than once per day,TRUE,25.77,FALSE,FALSE,11,Malicious Website,FALSE,55.65,6
RAN202400167,14-12-2024 02:00,Hospital,Large,3,Jan-50,More than once per day,TRUE,35.89,TRUE,FALSE,25,Exploited Vulnerability,FALSE,39.44,2
RAN202400168,18-11-2024 08:00,Hospital,Large,3,Jan-50,Weekly,TRUE,69.52,TRUE,FALSE,36,Compromised Credentials,TRUE,19.65,1
RAN202400169,02-09-2024 02:00,Hospital,Large,2,Jan-50,Daily,TRUE,51.58,TRUE,TRUE,56,Compromised Credentials,TRUE,50.5,1
RAN202400170,06-02-2024 14:00,Clinic,Medium,1,50-350,Monthly,TRUE,78.7,TRUE,FALSE,41,Phishing Email,FALSE,47.44,6
RAN202400171,04-11-2024 04:00,Clinic,Medium,14,50-350,Weekly,TRUE,58.33,TRUE,FALSE,61,Compromised Credentials,TRUE,37.34,3
RAN202400172,07-05-2024 02:00,Hospital,Medium,17,50-350,More than once per day,FALSE,41.55,FALSE,FALSE,28,Phishing Email,TRUE,58.75,3
RAN202400173,27-07-2024 03:00,Clinic,Small,13,Jan-50,Weekly,FALSE,53.57,TRUE,FALSE,54,Exploited Vulnerability,TRUE,44.58,6
RAN202400174,16-01-2024 16:00,Hospital,Medium,19,Jan-50,More than once per day,FALSE,40.85,FALSE,FALSE,35,RDP Exploit,TRUE,63.33,1
